lib32-fontconfig 2.12.1-4
lib32-freetype2 2.7.1-2
lib32-gcc-libs 6.3.1-2
lib32-gdk-pixbuf2 2.36.2-2
lib32-glib2 2.50.1-2
lib32-glibc 2.25-1
lib32-gmp 6.1.1-1
lib32-gnutls 3.4.15-1
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.4.1-2
lib32-keyutils 1.5.9-1
lib32-krb5 1.15-1
lib32-libcap 2.25-1
lib32-libcups 2.2.1-1
lib32-libdatrie 0.2.10-1
lib32-libdrm 2.4.80-1
lib32-libelf 0.168-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libglvnd 0.2.999+g4ba53457-2
lib32-libgpg-error 1.24-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.1-1
lib32-libldap 2.4.44-2
lib32-libpciaccess 0.13.5-1
lib32-libpng 1.6.29-1
lib32-libtasn1 4.10-1
lib32-libthai 0.1.26-1
lib32-libtiff 4.0.7-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-2
lib32-libxinerama 1.1.3-1
lib32-libxml2 2.9.3-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 4.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.1.0-1
lib32-ncurses 6.0-2
lib32-ncurses5-compat-libs 6.0-4
lib32-nettle 3.3-1
lib32-openal 1.17.2-1
lib32-openssl 1:1.1.0.e-1
lib32-p11-kit 0.23.2-1
lib32-pango 1.40.3-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-readline 7.0-1
lib32-systemd 232-1
lib32-util-linux 2.29.2-1
lib32-wayland 1.13.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.1-2
libaio 0.3.110-1
libao 1.2.2-1
libappindicator-gtk3 12.10.0-12
libarchive 3.3.1-5
libass 0.13.6-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 1.0.0-1
libbsd 0.8.3-2
libburn 1.4.6-1
libc++ 3.8.0-1
libc++abi 3.8.0-1
libcaca 0.99.beta19-1
libcacard 2.5.3-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+1-2
libcdr 0.1.3-3
libchamplain 0.12.15-1
libcmis 0.5.1-5
libcroco 0.6.12+4+g9ad7287-1
libcryptui 3.12.2+24+gd5e5bc5-1
libcups 2.2.3-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk3 16.04.0-2
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.5-1
libdca 0.0.5-4
libdmapsharing 2.9.37+1+ge9fe3e0-1
libdmx 1.1.3-1
libdrm 2.4.80-1
libdv 1.0.0-6
libdvbpsi 1:1.3.1-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-7
libebml 1.3.4-1
libedit 20170329_3.1-1
libelf 0.168-1
libepoxy 1.4.2-1
libetonyek 0.1.6-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.0.22-4
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfakekey 0.1-7
libfbclient 2.5.7.27050-2
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfontenc 1.1.3-1
libftdi 1.3-3
libftdi-compat 0.20-3
libgcj17-bin 6.3.0_4-1
libgcrypt 1.7.6-1
libgdata 0.17.8-1
libgdm 3.24.2-1
libgee 0.20.0-1
libgexiv2 0.10.5-1
libgit2 1:0.25.1-2
libgit2-glib 0.25.0-1
libgksu 2.0.12-7
libglade 2.6.4-5
libglademm 2.6.7-4
libglvnd 0.2.999+g4ba53457-2
libgme 0.6.1-1
libgnome-games-support 1.2.0-1
libgnome-keyring 3.12.0-2
libgnomekbd 3.22.0.1-1
libgpg-error 1.27-1
libgphoto2 2.5.13-1
libgsf 1.14.41+3+gc7b4b53-1
libgtop 2.36.0-1
libgudev 231+1+g0841288-1
libgusb 0.2.9-3
libgweather 3.24.0+12+g4684af7-1
libgxps 0.2.5+1+g764ae1e-1
libibus 1.5.16-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-6
libindicator-gtk3 12.10.1-7
libinput 1.7.2-1
libinput-gestures 2.13-1
libisoburn 1.4.6-2
libisofs 1.4.6-1
libixion 0.12.2-1
libjpeg-turbo 1.5.1-1
libjpeg6-turbo 1.5.1-1
libkate 0.4.1-5
libkeybinder3 0.3.2-1
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-4
liblouis 3.0.0-2
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.23-2
libmatroska 1.4.7-1
libmediaart 1.9.1-1
libmm-glib 1.6.6-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-7
libmusicbrainz5 5.1.0-2
libmwaw 0.3.11-1
libnautilus-extension 3.24.1-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnfs 1.11.0-1
libnftnl 1.0.7-1
libnghttp2 1.22.0-1
libnice 0.1.14-1
libnih 1.0.3-2
libnl 3.2.29-2
libnm 1.8.0-1
libnm-glib 1.8.0-1
libnotify 0.7.7-1
liboauth 1.0.3+9+g11e9461-2
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.12.1-1
libotf 0.9.13-2
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpeas 1.20.0-2
libpgm 5.2.122-2
libphonenumber 8.4.1-3
libpipeline 1.4.1-1
libplist 2.0.0-1
libpng 1.6.29-1
libpng12 1.2.57-1
libproxy 0.4.15-1
libpsl 0.17.0-2
libpst 0.6.70-1
libpulse 10.0-3
libpwquality 1.3.0-2
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libqzeitgeist 0.8.0-6
libraw 0.18.2-1
libraw1394 2.1.2-1
libreoffice-fresh 5.3.3-1
librevenge 0.0.4-1
librsvg 2:2.40.17-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libselinux 2.6-2
libsepol 2.6-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.12-1
libsoup 2.58.1-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.5-1
